Fecha,Genero,Commnet
10/10/24,Hombre,"I have found safe places to rest, but also unexpected dangers."
04/05/24,Mujer,The desert at the border is one of the greatest challenges I have faced so far.
06/05/24,Hombre,"Mexico has beautiful landscapes, but the journey is exhausting and full of uncertainties."
03/25/24,Mujer,"There are times when I feel that I will not be able to continue, but the people who support me
motivate me to keep going."
02/11/24,Hombre,"The journey has been hard, but the hope for a better life keeps me moving."
02/03/24,Mujer,"I have encountered very kind people, but also individuals who seek to take advantage of us."
08/07/24,Hombre,"In every city I pass through, the stories of other migrants inspire me and fill me with courage."
10/08/24,Mujer,"I have witnessed very sad situations, but also great displays of humanity."
06/23/24,Hombre,"The coyotes have scared me a lot, but I keep going with faith that I will arrive safely."
06/08/24,Mujer,The migrants I met have told me heartbreaking stories about their passage through Mexico.
09/25/24,Hombre,"My journey has been full of obstacles, but also of people who offer their help selflessly."
10/16/24,Mujer,"Sometimes it is difficult to find a place to sleep, but some shelters have been a true relief."
05/09/24,Hombre,"The fear of being detained is always present, but the hope for a better future keeps me strong."
07/02/24,Mujer,The solidarity of some Mexicans has been unexpected and very comforting on this journey.
01/20/24,Hombre,"The days pass slowly and full of challenges, but hope never dies."
08/15/24,Hombre,"Despite everything, I still believe that I will be able to cross Mexico and find a new life."
12/07/24,Mujer,"I have been robbed on the way, but I have not lost the hope of moving forward."
08/21/24,Mujer,"The problems we migrants face in Mexico are enormous, but we continue with faith."
